Material compositions,main_element,Trg,Density_composition_average,IsBoron_composition_average,IsDBlock_composition_average,IsTransitionMetal_composition_average,NdValence_composition_average,NValance_composition_average,HeatVaporization_max_value,BoilingT_difference,HeatVaporization_difference,MeltingT_difference,NdValence_difference,NsUnfilled_difference,valence_difference,Site1_Density,Site1_HeatCapacityMass,Site1_HeatFusion,Site1_IsDBlock,Site1_IsTransitionMetal,Site1_NdValence,Site1_SpecificHeatCapacity
Al85Co5Y10,Al,0.48,-1.56006386,6.123835981,-1.623220667,-1.623220667,-1.92844634,-1.38255455,-0.740589028,-1.188437854,-1.181945372,-0.27814149,-0.058208246,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al85Ni5Y10,Al,0.43,-1.559876416,6.123835981,-1.623220667,-1.623220667,-1.903999911,-1.361773699,-0.740589028,-1.188437854,-1.181945372,-0.27814149,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al86.5Co4.5Y9,Al,0.441,-1.582894527,6.242237792,-1.670040127,-1.670040127,-1.950448126,-1.395023061,-0.740589028,-1.188437854,-1.181945372,-0.27814149,-0.058208246,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al86.5Ni4.5Y9,Al,0.413,-1.582725827,6.242237792,-1.670040127,-1.670040127,-1.92844634,-1.376320295,-0.740589028,-1.188437854,-1.181945372,-0.27814149,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al88Co4Y8,Al,0.43,-1.605725193,6.360639602,-1.716859587,-1.716859587,-1.972449913,-1.407491572,-0.740589028,-1.188437854,-1.181945372,-0.27814149,-0.058208246,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al88Ni4Y8,Al,0.39,-1.605575238,6.360639602,-1.716859587,-1.716859587,-1.952892769,-1.390866891,-0.740589028,-1.188437854,-1.181945372,-0.27814149,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al89.5Co3.5Y7,Al,0.39,-1.62855586,6.479041413,-1.763679047,-1.763679047,-1.994451699,-1.419960082,-0.740589028,-1.188437854,-1.181945372,-0.27814149,-0.058208246,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Al89.5Ni3.5Y7,Al,0.37,-1.628424649,6.479041413,-1.763679047,-1.763679047,-1.977339198,-1.405413487,-0.740589028,-1.188437854,-1.181945372,-0.27814149,0.20782163,-1.16570621,-1.745034863,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.392730589,-1.10635433,1.575043526
Au35Ca65,Ca,0.508,0.583966294,-0.585599963,-0.9989612,-0.9989612,-0.437214166,1.422860372,-1.196173176,-0.52257177,-0.703728912,-1.27170473,1.005911258,0.85784908,-0.740265774,3.614723934,-1.279271486,-0.179137453,0.718013956,0.718013956,1.317680438,-1.280819219
Au49Ag5.5Pd2.3Cu26.9Si16.3,Au,0.623,3.080367076,-0.585599963,0.521110603,0.521110603,1.943868027,4.185051124,-0.740589028,-1.218926228,-0.89633795,-0.698938384,1.005911258,0.85784908,0.264503316,3.614723934,-1.279271486,-0.179137453,0.718013956,0.718013956,1.317680438,-1.280819219
Au55Cu25Si20,Au,0.532,3.18404745,-0.585599963,0.405622601,0.405622601,1.762964452,4.436083807,-0.967488059,-2.109186744,-1.494783972,-1.075000217,1.005911258,0.85784908,0.264503316,3.614723934,-1.279271486,-0.179137453,0.718013956,0.718013956,1.317680438,-1.280819219
Au77.8Si8.4Ge13.8,Au,0.466,4.418690726,-0.585599963,0.33695406,0.33695406,2.330121606,6.272279826,-0.967488059,-2.098210929,-1.664925511,-0.880473757,-1.654387503,0.85784908,-0.740265774,3.614723934,-1.279271486,-0.179137453,0.718013956,0.718013956,1.317680438,-1.280819219
Au77Si9.4Ge13.6,Au,0.469,4.35226717,-0.585599963,0.311983681,0.311983681,2.281228748,6.194143825,-0.967488059,-2.098210929,-1.664925511,-0.880473757,-1.654387503,0.85784908,-0.740265774,3.614723934,-1.279271486,-0.179137453,0.718013956,0.718013956,1.317680438,-1.280819219
Be30Zr70,Zr,0.44,-0.658036967,-0.585599963,0.093492868,0.093492868,-1.463964188,-1.340992848,0.56391502,0.168904549,0.176058551,-0.737741725,-1.654387503,-1.16570621,0.264503316,-1.383308208,4.995841474,-1.20448113,-1.392730589,-1.392730589,-1.10635433,4.996899795
Be32.5Zr67.5,Zr,0.496,-0.712665148,-0.585599963,0.015460435,0.015460435,-1.488410617,-1.361773699,0.56391502,0.168904549,0.176058551,-0.737741725,-1.654387503,-1.16570621,0.264503316,-1.383308208,4.995841474,-1.20448113,-1.392730589,-1.392730589,-1.10635433,4.996899795
Be40Zr60,Zr,0.464,-0.87654969,-0.585599963,-0.218636866,-0.218636866,-1.561749904,-1.424116253,0.56391502,0.168904549,0.176058551,-0.737741725,-1.654387503,-1.16570621,0.264503316,-1.383308208,4.995841474,-1.20448113,-1.392730589,-1.392730589,-1.10635433,4.996899795
Be45Zr55,Zr,0.457,-0.985806051,-0.585599963,-0.374701732,-0.374701732,-1.610642762,-1.465677955,0.56391502,0.168904549,0.176058551,-0.737741725,-1.654387503,-1.16570621,0.264503316,-1.383308208,4.995841474,-1.20448113,-1.392730589,-1.392730589,-1.10635433,4.996899795
Be50Zr50,Be,0.456,-1.095062413,-0.585599963,-0.530766599,-0.530766599,-1.65953562,-1.507239658,0.56391502,0.168904549,0.176058551,-0.737741725,-1.654387503,-1.16570621,0.264503316,-1.383308208,4.995841474,-1.20448113,-1.392730589,-1.392730589,-1.10635433,4.996899795
Ca40Mg25Cu35,Ca,0.587,-1.096468242,-0.585599963,-0.9989612,-0.9989612,-0.437214166,-0.613663053,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca40Mg30Cu30,Ca,0.569,-1.264746,-0.585599963,-1.155026066,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca45Mg19Cu36,Ca,0.559,-1.067217622,-0.585599963,-0.967748226,-0.967748226,-0.388321308,-0.576257521,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca45Mg25Cu30,Ca,0.59,-1.269150932,-0.585599963,-1.155026066,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca45Mg30Cu25,Ca,0.559,-1.43742869,-0.585599963,-1.311090933,-1.311090933,-0.926142748,-0.987718376,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca47.5Mg22.5Cu30,Ca,0.593,-1.271353398,-0.585599963,-1.155026066,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca47Mg19Zn7Cu27,Ca,0.581,-1.194679472,-0.585599963,-1.030174173,-1.030174173,-0.486107024,-0.621975393,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca50Mg10Zn15Cu25,Ca,0.563,-1.062119148,-0.585599963,-0.842896333,-0.842896333,-0.192749875,-0.364292838,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca50Mg15Zn10Cu25,Ca,0.583,-1.188690639,-0.585599963,-0.9989612,-0.9989612,-0.437214166,-0.57210135,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca50Mg20Cu30,Ca,0.581,-1.273555863,-0.585599963,-1.155026066,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca50Mg20Zn5Cu25,Ca,0.61,-1.315262131,-0.585599963,-1.155026066,-1.155026066,-0.681678457,-0.779909863,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca50Mg22.5Cu27.5,Ca,0.603,-1.357694743,-0.585599963,-1.2330585,-1.2330585,-0.803910602,-0.894204545,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca50Mg25Cu25,Ca,0.611,-1.441833622,-0.585599963,-1.311090933,-1.311090933,-0.926142748,-0.987718376,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca50Mg25Zn15Cu10,Ca,0.53,-1.566952423,-0.585599963,-1.311090933,-1.311090933,-0.926142748,-0.925375822,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca50Mg30Ag20,Ca,0.609,-1.462967921,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.174746037,-1.684369924,-0.888432256,-1.035977725,-1.133297911,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca50Mg30Cu20,Ca,0.55,-1.61011138,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.174746037,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca53Mg23Cu24,Ca,0.62,-1.478132133,-0.585599963,-1.342303906,-1.342303906,-0.975035606,-1.025123908,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca55Mg10Cu35,Ca,0.516,-1.109683037,-0.585599963,-0.9989612,-0.9989612,-0.437214166,-0.613663053,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca55Mg11Zn11Cu23,Ca,0.529,-1.235092376,-0.585599963,-1.030174173,-1.030174173,-0.486107024,-0.605350712,-1.354473287,0.26768688,-0.593951003,-0.58776496,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca55Mg15Cu30,Ca,0.562,-1.277960795,-0.585599963,-1.155026066,-1.155026066,-0.681678457,-0.800690714,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca55Mg15Zn30,Ca,0.556,-1.528198397,-0.585599963,-1.155026066,-1.155026066,-0.681678457,-0.676005607,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca55Mg18Zn27,Ca,0.58,-1.604141292,-0.585599963,-1.248664986,-1.248664986,-0.828357031,-0.800690714,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca55Mg20Cu25,Ca,0.554,-1.446238554,-0.585599963,-1.311090933,-1.311090933,-0.926142748,-0.987718376,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca55Mg20Zn25,Ca,0.546,-1.654769889,-0.585599963,-1.311090933,-1.311090933,-0.926142748,-0.883814119,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca55Mg25Ag20,Ca,0.617,-1.467372853,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.174746037,-1.684369924,-0.888432256,-1.035977725,-1.133297911,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca55Mg25Cu20,Ca,0.596,-1.614516312,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.174746037,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca55Mg25Zn20,Ca,0.499,-1.78134138,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.091622632,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca58Mg18Cu24,Ca,0.582,-1.482537064,-0.585599963,-1.342303906,-1.342303906,-0.975035606,-1.025123908,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Al30Ag10,Ca,0.556,-1.746664259,1.782436252,-1.779285533,-1.779285533,-1.65953562,-1.424116253,-1.418640068,-0.933555049,-0.942837142,-1.149471118,-1.654387503,-1.16570621,-0.740265774,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Mg10Zn30,Ca,0.571,-1.532603329,-0.585599963,-1.155026066,-1.155026066,-0.681678457,-0.676005607,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Mg13Cu27,Ca,0.562,-1.383332382,-0.585599963,-1.248664986,-1.248664986,-0.828357031,-0.912907311,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Mg15Cu25,Ca,0.576,-1.450643485,-0.585599963,-1.311090933,-1.311090933,-0.926142748,-0.987718376,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Mg15Zn25,Ca,0.583,-1.65917482,-0.585599963,-1.311090933,-1.311090933,-0.926142748,-0.883814119,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Mg17.5Zn22.5,Ca,0.589,-1.722460566,-0.585599963,-1.389123367,-1.389123367,-1.048374893,-0.987718376,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Mg20Ag20,Ca,0.602,-1.471777784,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.174746037,-1.684369924,-0.888432256,-1.035977725,-1.133297911,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Mg20Cu20,Ca,0.571,-1.618921244,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.174746037,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Mg20Zn20,Ca,0.573,-1.785746312,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.091622632,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Mg25Cu15,Ca,0.577,-1.787199002,-0.585599963,-1.623220667,-1.623220667,-1.41507133,-1.361773699,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca60Mg25Zn15,Ca,0.507,-1.912317803,-0.585599963,-1.623220667,-1.623220667,-1.41507133,-1.299431145,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca62.5Mg17.5Zn20,Ca,0.586,-1.787948778,-0.585599963,-1.4671558,-1.4671558,-1.170607039,-1.091622632,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca63Al32Cu5,Ca,0.616,-1.982140655,1.940305333,-1.9353504,-1.9353504,-1.903999911,-1.602831574,-1.354473287,-0.435984788,-0.873870451,-0.95971784,-1.654387503,-1.16570621,-0.740265774,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Cu35,Ca,0.424,-1.1184929,-0.585599963,-0.9989612,-0.9989612,-0.437214166,-0.613663053,-1.354473287,-0.435984788,-0.873870451,-1.240130675,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Ga35,Ca,0.567,-1.613157344,2.177108955,-2.091415267,-2.091415267,-0.437214166,-0.322731135,-1.648449757,-1.317708559,-1.189837437,-0.360691272,-1.654387503,-1.16570621,-0.740265774,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Mg10Cu25,Ca,0.546,-1.455048417,-0.585599963,-1.311090933,-1.311090933,-0.926142748,-0.987718376,-1.354473287,0.044511983,-0.681403612,-0.943544633,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
Ca65Mg10Zn25,Ca,0.572,-1.663579752,-0.585599963,-1.311090933,-1.311090933,-0.926142748,-0.883814119,-2.319158,-1.492102057,-1.630797664,-0.962776384,-1.654387503,-1.16570621,-1.745034863,-1.468651641,0.637301929,-1.062408805,-1.392730589,-1.392730589,-1.10635433,0.639119596
